method,env_id,variant_index,reward,hits,false_alarms,scanned_true_active,total_active_opportunities,overall_pd,scanned_pd,pfa,total_episodes,detected_episodes,interception_rate,mean_delay,median_delay,p90_delay,fairness_jain,min_scan_share,max_scan_share,max_min_scan_ratio,scan_b0,scan_b1,scan_b2,scan_b3,scan_b4
Round_Robin,68076,8,181.43534140855135,172,0,221,913,0.18838992332968238,0.7782805429864253,0.0,202,143,0.7079207920792079,1.4125874125874125,1.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68077,9,179.26506058722777,183,1,228,913,0.2004381161007667,0.8026315789473685,0.003676470588235294,204,97,0.47549019607843135,1.4536082474226804,1.0,3.4000000000000057,0.8416658250008416,0.144,0.372,2.5833333333333335,89,186,72,77,76
V70_DQN,68077,9,167.47976909965283,175,1,226,913,0.19167579408543264,0.7743362831858407,0.0036496350364963502,204,98,0.4803921568627451,1.7653061224489797,1.0,5.0,0.7917154891218292,0.102,0.396,3.8823529411764706,98,198,81,72,51
V65_DQN,68077,9,171.42263005062938,176,0,214,913,0.1927710843373494,0.822429906542056,0.0,204,107,0.5245098039215687,1.8317757009345794,1.0,4.0,0.8614154779133072,0.094,0.334,3.5531914893617023,75,167,100,111,47
Old_Scalable_DQN,68077,9,164.85712267816103,163,1,201,913,0.17853231106243153,0.8109452736318408,0.0033444816053511705,204,102,0.5,1.7647058823529411,1.0,4.900000000000006,0.964245766961083,0.134,0.24,1.791044776119403,120,112,111,90,67
Random,68077,9,135.09929997950792,133,1,170,913,0.1456736035049288,0.7823529411764706,0.0030303030303030303,204,90,0.4411764705882353,1.9555555555555555,1.0,5.0,0.9983626851962781,0.188,0.21,1.1170212765957446,99,105,98,94,104
Round_Robin,68077,9,148.3354439829289,140,2,177,913,0.1533406352683461,0.7909604519774012,0.006191950464396285,204,116,0.5686274509803921,2.293103448275862,2.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68078,10,162.18302431926134,166,5,209,913,0.18181818181818182,0.7942583732057417,0.01718213058419244,204,99,0.4852941176470588,1.898989898989899,1.0,5.0,0.878456727221617,0.128,0.344,2.6875,87,172,64,90,87
V70_DQN,68078,10,173.68922768563058,180,5,230,913,0.19715224534501644,0.782608695652174,0.018518518518518517,204,100,0.49019607843137253,1.82,1.0,4.0,0.8310341388824253,0.124,0.372,3.0,87,186,99,62,66
V65_DQN,68078,10,178.38708504408606,185,3,237,913,0.20262869660460023,0.7805907172995781,0.011406844106463879,204,91,0.44607843137254904,1.7032967032967032,1.0,6.0,0.8685079034219212,0.108,0.334,3.0925925925925926,78,167,85,116,54
Old_Scalable_DQN,68078,10,156.72694860085855,156,7,199,913,0.17086527929901424,0.7839195979899497,0.023255813953488372,204,99,0.4852941176470588,2.1414141414141414,1.0,6.0,0.9546357110126775,0.122,0.254,2.081967213114754,102,111,127,99,61
Random,68078,10,143.66571423128235,143,6,184,913,0.1566265060240964,0.7771739130434783,0.0189873417721519,204,94,0.46078431372549017,1.8404255319148937,1.0,5.0,0.9979243174197668,0.186,0.21,1.1290322580645162,99,105,98,93,105
Round_Robin,68078,10,148.28252032414062,140,3,177,913,0.1533406352683461,0.7909604519774012,0.009287925696594427,204,114,0.5588235294117647,2.1666666666666665,2.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68079,11,167.99218934550893,169,2,206,913,0.1851040525739321,0.8203883495145631,0.006802721088435374,202,92,0.45544554455445546,1.5,1.0,4.0,0.9278159213212098,0.136,0.304,2.235294117647059,95,152,68,96,89
V70_DQN,68079,11,168.5343687579036,168,1,201,913,0.18400876232201532,0.835820895522388,0.0033444816053511705,202,101,0.5,1.8415841584158417,1.0,5.0,0.8939746111210441,0.112,0.324,2.892857142857143,99,162,90,93,56
V65_DQN,68079,11,166.86738264173292,169,2,206,913,0.1851040525739321,0.8203883495145631,0.006802721088435374,202,87,0.4306930693069307,1.9655172413793103,1.0,5.0,0.8913927119731869,0.09,0.298,3.311111111111111,104,119,83,149,45
Old_Scalable_DQN,68079,11,158.52570539504327,155,1,194,913,0.16976998904709747,0.7989690721649485,0.0032679738562091504,202,95,0.47029702970297027,1.8210526315789475,1.0,5.0,0.9498119372364272,0.14,0.242,1.7285714285714286,121,70,120,115,74
Random,68079,11,145.4358602137864,141,2,175,913,0.15443592552026286,0.8057142857142857,0.006153846153846154,202,98,0.48514851485148514,1.9489795918367347,1.0,5.0,0.9976853699417352,0.184,0.21,1.141304347826087,99,105,99,92,105
Round_Robin,68079,11,142.0492247204482,133,2,164,913,0.1456736035049288,0.8109756097560976,0.005952380952380952,202,105,0.5198019801980198,1.9047619047619047,1.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68080,12,163.92804188549533,164,2,204,913,0.1796276013143483,0.803921568627451,0.006756756756756757,204,88,0.43137254901960786,1.7954545454545454,2.0,4.0,0.9794703024604294,0.154,0.234,1.5194805194805194,97,117,77,114,95
V70_DQN,68080,12,152.2206564132873,156,3,195,913,0.17086527929901424,0.8,0.009836065573770493,204,88,0.43137254901960786,1.6363636363636365,1.0,4.0,0.8930166101089481,0.116,0.32,2.7586206896551726,112,160,89,81,58
V65_DQN,68080,12,147.091632115394,153,3,203,913,0.16757940854326397,0.7536945812807881,0.010101010101010102,204,80,0.39215686274509803,1.7,1.0,5.0,0.9260288180168167,0.112,0.262,2.3392857142857144,84,131,100,129,56
Old_Scalable_DQN,68080,12,164.8932537098232,167,3,202,913,0.1829134720700986,0.8267326732673267,0.010067114093959731,204,100,0.49019607843137253,1.84,1.0,4.1000000000000085,0.9058955683588796,0.108,0.26,2.4074074074074074,123,68,130,125,54
Random,68080,12,146.58956903681172,144,2,178,913,0.15772179627601315,0.8089887640449438,0.006211180124223602,204,98,0.4803921568627451,2.010204081632653,1.0,5.0,0.9978844848920289,0.184,0.21,1.141304347826087,99,104,100,92,105
Round_Robin,68080,12,129.59386375471925,123,3,165,913,0.13472070098576122,0.7454545454545455,0.008955223880597015,204,101,0.4950980392156863,2.00990099009901,2.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68081,13,154.4393895156682,159,3,214,913,0.1741511500547645,0.7429906542056075,0.01048951048951049,202,94,0.46534653465346537,2.265957446808511,2.0,5.0,0.9197262894562578,0.15,0.314,2.0933333333333333,97,157,91,75,80
V70_DQN,68081,13,201.9852904096251,205,3,249,913,0.22453450164293537,0.8232931726907631,0.01195219123505976,202,112,0.5544554455445545,1.6428571428571428,1.0,4.0,0.8616826939647744,0.128,0.354,2.765625,90,177,95,74,64
V65_DQN,68081,13,179.58994756370794,186,3,236,913,0.20372398685651696,0.788135593220339,0.011363636363636364,202,90,0.44554455445544555,1.8,1.0,5.0,0.8458805616646929,0.096,0.35,3.6458333333333335,86,175,79,112,48
Old_Scalable_DQN,68081,13,149.3964550378919,150,4,188,913,0.16429353778751368,0.7978723404255319,0.01282051282051282,202,89,0.4405940594059406,1.8764044943820224,1.0,5.0,0.9491268033409264,0.118,0.25,2.1186440677966103,125,93,117,106,59
Random,68081,13,136.00588000282644,133,3,176,913,0.1456736035049288,0.7556818181818182,0.009259259259259259,202,95,0.47029702970297027,2.168421052631579,2.0,5.0,0.9978844848920289,0.184,0.21,1.141304347826087,99,104,100,92,105
Round_Robin,68081,13,177.98640296742352,170,4,221,913,0.18619934282584885,0.7692307692307693,0.014336917562724014,202,140,0.693069306930693,1.3642857142857143,1.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68082,14,152.94695371866254,157,2,200,913,0.171960569550931,0.785,0.006666666666666667,204,89,0.4362745098039216,2.247191011235955,1.0,5.0,0.957817708133788,0.148,0.266,1.7972972972972974,98,133,74,112,83
V70_DQN,68082,14,150.75767785906785,157,3,208,913,0.171960569550931,0.7548076923076923,0.010273972602739725,204,92,0.45098039215686275,1.6956521739130435,1.0,5.0,0.8264462809917356,0.106,0.374,3.5283018867924527,95,187,89,76,53
V65_DQN,68082,14,163.93340753510626,169,2,214,913,0.1851040525739321,0.7897196261682243,0.006993006993006993,204,88,0.43137254901960786,1.6818181818181819,1.0,4.0,0.8590179706559461,0.084,0.296,3.5238095238095237,92,148,75,143,42
Old_Scalable_DQN,68082,14,148.22030788332256,147,1,189,913,0.16100766703176342,0.7777777777777778,0.003215434083601286,204,88,0.43137254901960786,1.8181818181818181,1.0,5.0,0.9463961235614778,0.11,0.238,2.1636363636363636,98,119,119,109,55
Random,68082,14,142.13078553825596,139,0,184,913,0.15224534501642936,0.7554347826086957,0.0,204,100,0.49019607843137253,1.8,1.0,4.1000000000000085,0.998003992015968,0.184,0.21,1.141304347826087,99,103,101,92,105
Round_Robin,68082,14,150.77439432725293,142,2,177,913,0.15553121577217963,0.8022598870056498,0.006191950464396285,204,118,0.5784313725490197,2.2796610169491527,2.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68083,15,161.42750631392013,163,2,205,913,0.17853231106243153,0.7951219512195122,0.006779661016949152,203,99,0.4876847290640394,1.9595959595959596,1.0,5.0,0.9405921968471349,0.166,0.3,1.8072289156626506,88,150,88,83,91
V70_DQN,68083,15,179.3747658525409,185,1,229,913,0.20262869660460023,0.8078602620087336,0.0036900369003690036,203,106,0.5221674876847291,1.5943396226415094,1.0,4.0,0.8343623802689984,0.132,0.374,2.8333333333333335,94,187,71,82,66
V65_DQN,68083,15,177.73128892511158,180,3,228,913,0.19715224534501644,0.7894736842105263,0.011029411764705883,203,86,0.4236453201970443,1.941860465116279,1.0,4.0,0.9178353770467729,0.11,0.282,2.5636363636363635,103,141,81,120,55
Old_Scalable_DQN,68083,15,152.84148336976773,157,3,203,913,0.171960569550931,0.7733990147783252,0.010101010101010102,203,86,0.4236453201970443,1.697674418604651,1.0,4.0,0.9239753113796799,0.106,0.276,2.6037735849056602,111,112,138,86,53
Random,68083,15,124.6269849954541,123,2,170,913,0.13472070098576122,0.7235294117647059,0.006060606060606061,203,86,0.4236453201970443,2.197674418604651,1.0,6.0,0.998003992015968,0.184,0.21,1.141304347826087,99,103,101,92,105
Round_Robin,68083,15,130.3588339486716,124,4,160,913,0.13581599123767799,0.775,0.011764705882352941,203,102,0.5024630541871922,2.0098039215686274,2.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68084,16,157.71196839034585,156,1,203,913,0.17086527929901424,0.7684729064039408,0.003367003367003367,202,93,0.4603960396039604,1.8494623655913978,1.0,5.0,0.9606886216039657,0.164,0.278,1.6951219512195121,96,139,87,96,82
V70_DQN,68084,16,143.89771599978204,151,0,186,913,0.16538882803943045,0.8118279569892473,0.0,202,95,0.47029702970297027,1.8842105263157896,1.0,4.0,0.8466253513495208,0.128,0.348,2.71875,122,174,69,64,71
V65_DQN,68084,16,148.93335013479017,150,1,185,913,0.16429353778751368,0.8108108108108109,0.0031746031746031746,202,86,0.42574257425742573,1.7325581395348837,1.0,4.5,0.9000900090009001,0.082,0.284,3.4634146341463414,110,113,94,142,41
Old_Scalable_DQN,68084,16,169.75952490612892,171,0,211,913,0.18729463307776562,0.8104265402843602,0.0,202,100,0.49504950495049505,2.25,2.0,5.1000000000000085,0.9132753707898006,0.096,0.262,2.7291666666666665,131,89,131,101,48
Random,68084,16,134.1855531212685,129,0,169,913,0.14129244249726178,0.7633136094674556,0.0,202,91,0.4504950495049505,2.142857142857143,1.0,5.0,0.9978844848920289,0.184,0.21,1.141304347826087,98,103,102,92,105
Round_Robin,68084,16,133.5918917185066,124,0,160,913,0.13581599123767799,0.775,0.0,202,101,0.5,2.1485148514851486,2.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68085,17,169.2225212274495,168,4,213,913,0.18400876232201532,0.7887323943661971,0.013937282229965157,201,95,0.472636815920398,2.042105263157895,2.0,5.0,0.9552193183554945,0.146,0.276,1.8904109589041096,95,138,105,89,73
V70_DQN,68085,17,151.0025155267122,154,5,191,913,0.1686746987951807,0.806282722513089,0.016181229773462782,201,93,0.4626865671641791,2.096774193548387,1.0,5.799999999999997,0.8761170492377782,0.124,0.34,2.7419354838709675,101,170,93,74,62
V65_DQN,68085,17,141.1733278082311,147,5,198,913,0.16100766703176342,0.7424242424242424,0.016556291390728478,201,82,0.4079601990049751,1.6585365853658536,2.0,4.0,0.8723263198297219,0.138,0.34,2.463768115942029,77,112,72,170,69
Old_Scalable_DQN,68085,17,139.50503632545443,141,4,181,913,0.15443592552026286,0.7790055248618785,0.012539184952978056,201,94,0.46766169154228854,1.9042553191489362,1.0,5.0,0.9200309130386781,0.132,0.302,2.287878787878788,112,82,151,89,66
Random,68085,17,130.407770913243,128,5,173,913,0.140197152245345,0.7398843930635838,0.01529051987767584,201,92,0.4577114427860697,2.2065217391304346,2.0,5.0,0.997446536865624,0.182,0.21,1.1538461538461537,98,103,103,91,105
Round_Robin,68085,17,182.77280806273274,173,4,217,913,0.18948521358159912,0.7972350230414746,0.014134275618374558,201,145,0.7213930348258707,1.3793103448275863,1.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68086,18,173.19411031380307,177,6,219,913,0.19386637458926614,0.8082191780821918,0.021352313167259787,202,98,0.48514851485148514,2.0306122448979593,2.0,5.0,0.8849557522123894,0.134,0.338,2.5223880597014925,100,169,81,83,67
V70_DQN,68086,18,160.7157902389765,168,5,214,913,0.18400876232201532,0.7850467289719626,0.017482517482517484,202,101,0.5,1.7425742574257426,1.0,4.0,0.8348639171814994,0.128,0.372,2.90625,97,186,70,83,64
V65_DQN,68086,18,172.73216802924892,176,5,220,913,0.1927710843373494,0.8,0.017857142857142856,202,102,0.504950495049505,1.9313725490196079,1.0,5.0,0.9251036116044997,0.138,0.298,2.1594202898550723,69,149,94,111,77
Old_Scalable_DQN,68086,18,135.19026588842252,140,7,184,913,0.1533406352683461,0.7608695652173914,0.022151898734177215,202,77,0.3811881188118812,2.0,1.0,5.0,0.93847366642892,0.136,0.29,2.1323529411764706,85,100,145,102,68
Random,68086,18,145.66485124409212,144,5,188,913,0.15772179627601315,0.7659574468085106,0.016025641025641024,202,94,0.46534653465346537,2.1382978723404253,1.0,5.0,0.9972078181092939,0.182,0.21,1.1538461538461537,97,104,103,91,105
Round_Robin,68086,18,172.8124517080191,164,3,221,913,0.1796276013143483,0.7420814479638009,0.010752688172043012,202,139,0.6881188118811881,1.4964028776978417,1.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68087,19,168.0198347552124,171,1,218,913,0.18729463307776562,0.7844036697247706,0.0035460992907801418,202,91,0.4504950495049505,1.901098901098901,2.0,4.0,0.9121424401634559,0.156,0.322,2.0641025641025643,95,161,81,78,85
